sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos110	35.891010208005078	-75.58569098291089	-32.437619592063129	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos111	35.89087710002778	-75.585609193640593	-32.562511740252376	0.014099999330937862	0.011299999430775642	RTK fixed	6319
ScanPos112	35.890731123378892	-75.585561516078997	-32.26071126293391	0.014099999330937862	0.011399999260902405	RTK fixed	6319
ScanPos113	35.890583672784082	-75.585493628423009	-32.269728512503207	0.014099999330937862	0.011399999260902405	RTK fixed	6319
ScanPos114	35.890435341896669	-75.585410374341009	-32.530824604444206	0.014099999330937862	0.011500000022351742	RTK fixed	6319
ScanPos115	35.890273377092768	-75.585327186668579	-32.464256117120385	0.014099999330937862	0.011500000022351742	RTK fixed	6319
ScanPos116	35.889958884678016	-75.585167029068174	-32.216151120141149	0.014099999330937862	0.011500000022351742	RTK fixed	6319
ScanPos117	35.889817228357799	-75.585098921552998	-32.203581485897303	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos118	35.889666534791594	-75.58501043244182	-32.212667476385832	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos119	35.889535053830556	-75.584920307427538	-32.295012013986707	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos120	35.889408667451939	-75.58484644095094	-32.309663195163012	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos121	35.889262370761628	-75.584763218730089	-32.082429131492972	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos122	35.889124894625674	-75.584681993473595	-32.283912963233888	0.014099999330937862	0.011599999852478504	RTK fixed	6319
ScanPos123	35.888955876417612	-75.584580091230094	-32.442980281077325	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos124	35.888814352475414	-75.584501989190329	-32.652952269650996	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos125	35.88882209060052	-75.584490885314423	-31.649693300016224	1.4088000059127808	2.2182998657226562	Single	6319
